序号,产品名,当前轮次,成立日期,所属城市,产品介绍,所属企业,tag
11,原启生物,Pre-IPO,2015-02-04,上海市,原启生物成立于2015年，以开发创新型、有临床价值的细胞药物为长期发展战略，依托自主构建的协同增效创新型产品研发技术平台，聚焦全球肝癌、骨髓瘤、卵巢癌、胃癌、宫颈癌、非小细胞肺癌等未被满足的临床治疗需求，致力于为全球未被满足的临床需求开发效价可及反应持久且具有实际意义的细胞药物。,原启生物科技（上海）有限责任公司,上海跃赛生物科技有限公司
12,乾境生物,B轮,2019-08-30,北京市,乾境生物成立于2019年，致力于以免疫细胞治疗为核心的细胞疗法研究和药物临床开发，通过细胞技术研发平台、药物研发平台、细胞自动化制备技术开发平台提供干细胞技术、免疫细胞技术基因工程技术等生物医学技术服务，守护人类的生命与健康。,乾境生物技术有限公司,上海跃赛生物科技有限公司
13,博品生物,股权融资,2018-09-19,上海市,博品生物是一个紧密围绕干细胞基础理论研究、干细胞制药及临床应用进行产品和技术研发，秉承规范化、标准化、科学化、国际化原则，打造以科技创新为核心驱动力的卓越出众生物制药公司和干细胞产业集群。,博品（上海）生物医药科技有限公司,上海跃赛生物科技有限公司
14,呈诺医学,未融资,2010-09-16,北京市,呈诺医学致力于细胞和基因技术研究和临床转化，为临床提供创新的细胞治疗和基因检测产品，为广大客户群体提供高效、安全的个人干细胞存储业务和多种干细胞、免疫细胞应用业务。,北京呈诺医学科技有限公司,上海跃赛生物科技有限公司
15,亘喜生物,并购,2017-05-22,上海市,亘喜生物是一家提供基于细胞的治疗研发和服务的平台，通过自有技术解决现在CAR-T细胞治疗所面临的高成本、无法即用、对实体瘤无效以及无法实时监控患者体内CAR蛋白表达来预防副作用等挑战，以大大增加其CAR-T的实用性和市场潜力。,亘喜生物科技（上海）有限公司,上海跃赛生物科技有限公司
16,泉眼生物,未融资,2016-05-11,上海市,上海泉眼生物科技有限公司是一家专注于干细胞的研发和临床转化应用尤其是干细胞的存储、临床疾病治疗及干细胞技术深度开发的生物高科技公司。公司以“精于道，业于勤，源于泉”的文化主旨为坚持，“再生医学----服务大众健康”的企业理念为目标，为再生医学提供优质高效的技术服务和持续创新的细胞治疗产品。,上海泉眼生物科技有限公司,上海跃赛生物科技有限公司
17,源正细胞,未融资,2013-07-11,深圳市,源正细胞是一家细胞治疗技术研发商，主要从事细胞治疗技术研究开发和技术服务，主要开展抗肿瘤、抗病毒、抗衰老等各类免疫细胞治疗技术和以细胞为载体的基因治疗技术的研究推广。,深圳源正细胞医疗技术有限公司,上海跃赛生物科技有限公司
18,上海国联干细胞,B轮,2009-12-17,上海市,上海国联干细胞是一个干细胞研发平台，主要从事干细胞基础研究、临床应用研究、产品开发、产品生产等，该公司拥有一系列自主知识产权的iCELLTM干细胞产品，为国内外医院及患者、健康服务机构及亚健康用户提供干细胞系列产品以及干细胞技术服务。,上海国联干细胞技术有限公司,上海跃赛生物科技有限公司
19,京蒙干细胞,未融资,2009-08-13,北京市,京蒙干细胞是一家专注于干细胞及免疫细胞的技术研发服务商，公司致力于人体细胞治疗的基础理论研究、应用技术的研发与产业化，提供专业的细胞技术服务及相关医疗保健生物产品，开展干细胞技术产业化相关研究的国家技术企业，拥有临床检测、技术转化中心、中试车间三大技术平台。,北京京蒙高科干细胞技术有限公司,上海跃赛生物科技有限公司
20,顺昊生物,未融资,2011-11-02,天津市,顺昊生物是一家干细胞治疗药物研发及相关服务提供商，致力于胎盘、子宫内膜、月经血、脂肪等来源的干细胞治疗性应用研究和相关药品的开发，业务还涉及抗体药物研发、基因检测和细胞储存服务等领域。,顺昊细胞生物技术（天津）股份有限公司,上海跃赛生物科技有限公司
1,寰信驿联,Pre-A轮,2023-01-31,上海市,寰信驿联成立于2023年，专注于航天激光通信产品的研发、生产与销售，其核心产品宇航级光纤放大器与窄线宽激光器已适配于主流星载的激光终端厂家，公司研发团队由来自电科23所、电科50所、II-VI、nLight、航天科技等头部科技企业的核心人才聚合而成，在光纤通信、空间激光、电子信息等领域具有深厚的技术积累。,寰信驿联（上海）科技有限公司,蓝星光域(上海)航天科技有限公司
2,上光通信,股权转让,2020-11-11,上海市,上光通信成立于2020年，是一家新一代高速激光通信技术研发商，公司以卫星互联网的发展需求为核心，为客户提供高速、高可靠性、高性价比的激光通信终端产品，研发制订新一代激光通信的一体化解决方案。,上光通信技术（上海）有限公司,蓝星光域(上海)航天科技有限公司
3,比羿激光,Pre-A轮,2021-08-06,湖州市,比羿激光成立于2021年，致力于推动激光通信技术全面应用，为客户提供一站式、高效可靠的激光通信技术解决方案。公司产品包括星间激光通信终端、星地激光通信终端、空地激光通信终端、便携激光通信终端，现已形成完整的生产流程与质量管控体系；研发团队聚合了众多领域专家，立足于浙江大学、哈尔滨工业大学的优异人才与科研平台，专注激光通信产品成本控制、场景适用性优化。,比羿激光科技（湖州）有限公司,蓝星光域(上海)航天科技有限公司
4,捷元擎智能,天使+轮,2020-12-14,苏州市,捷元擎智能是一个激光加工设备制造商，聚焦于航天级卫星通信光纤激光器、移动激光加工设备等智能化设备，依靠卓越的研发能力，公司在光学、机械、电子、算法等领域形成强大的设计、研发能力，是将动态感知算法应用到卫星通信光纤激光器和移动激光加工领域的企业。,江苏捷元擎智能科技有限公司,蓝星光域(上海)航天科技有限公司
5,氦星光联,A+轮,2021-08-30,深圳市,氦星光联成立于2021年，是一家空间激光通信解决方案提供商和相关产品制造商，致力于开放式垂直产业链研发产品与低成本快速量产，公司完全掌握空间激光通信研发核心技术，主营产品面向卫星互联网、保密通信、应急通信、智慧+行业建设等各种空间激光通信应用场景，主要产品矩阵涵盖了高速光电器件、相机、振镜、光机系统、卫星激光通信载荷以及空间激光通信系统。,氦星光联科技（深圳）有限公司,蓝星光域(上海)航天科技有限公司
6,驭航光计,A轮,2023-02-23,无锡市,驭航光计成立于2023年2月，坐落在上海市，是一家集激光通讯设备研发、生产、销售，技术服务为一体的技术企业。致力于应用先进的通讯技术，以航空航天星-星、星-空、星-地等激光通信终端产品研发、测试，集成及技术服务为一体，实现无盲区实时接入宽带通讯系统及后续整体解决方案，为新一代星地互联网解决方案提供高速，高可靠性的骨干网传输产品，并提高应急通讯，国土资源勘测等领域的实时数据获取能力，提供涵盖实时宽带数据，图传等一系列大数据应用服务。,无锡驭航光计科技有限公司,蓝星光域(上海)航天科技有限公司
7,极光星通,A+轮,2020-08-26,北京市,极光星通成立于2020年，是一家聚焦于空间激光通信技术的国家技术企业，拥有自主知识产权，多项发明专利已获授权。公司致力于为客户提供高性能空间激光通信解决方案，产品主要应用于低轨卫星、民用航空、远洋舰船和陆基车载等领域。,北京极光星通科技有限公司,蓝星光域(上海)航天科技有限公司
8,六博光电,A轮,2017-05-17,武汉市,六博光电成立于2017年，是一家空间激光通信产品研发商，致力于移动激光通信及相关产品研发生产和销售，主要应用于海岛、反恐、国防、保密等领域，业务包括快速定点、移动局域网架设、最后一公里宽带接入，定点FSO与移动FSO接入等。,武汉六博光电技术有限责任公司,蓝星光域(上海)航天科技有限公司
9,星控激光,天使轮,2022-12-23,宿迁市,"星控激光成立于2022年，聚焦“光与物质的相互作用”,专注“航空航天、新能源、半导体”等领域的精密激光加工、检测等设备的研制。公司业务覆盖精密超快激光器、激光制孔与刻蚀装备及精密检测等一系列设备生产、销售、加工以及定制化解决方案。已布局先进光源、航空发动机核心零部件、新能源锂金属电池及金属双极板、金属材料及复合材料等多个细分领域。",江苏星辰光子科技有限公司,蓝星光域(上海)航天科技有限公司
10,弘毅光技术,A轮,2021-03-04,天津市,弘毅光技术成立于2021年，是一家空间激光通信系统全链路供应商，专注于低轨卫星激光通信领域的技术研发与产品服务。公司以科技创新为驱动，致力于为用户提供先进、可靠、安全且高性价比的空间激光通信整体解决方案，业务范围涵盖核心器件研发、系统集成、装调测试及定制化服务。,天津弘毅光技术有限公司,蓝星光域(上海)航天科技有限公司
11,钧恒科技,股权转让,2012-08-07,武汉市,钧恒科技成立于2012年，是专业从事高端光通信产品的研制、生产及推广的技术企业，产品应用与邮电通讯、电力、国防、金融、铁路、桥梁、防腐、激光设备等众多领域。拥有从光学组件，光电转换模块，光端机及子系统的行业垂直整合能力，能够为客户提供各种特定应用的定制化产品。,武汉钧恒科技有限公司,蓝星光域(上海)航天科技有限公司
12,迈微光电,B轮,2015-12-01,无锡市,迈微光电致力于高性能激光器模块产品及光学子系统的研发、生产和销售，并可提供整体光学设计解决方案。,无锡迈微光电科技有限公司,蓝星光域(上海)航天科技有限公司
13,长理光机,A轮,2011-09-05,长春市,长理光机专业从事激光器、激光夜视、红外热像设备、激光加工成套设备、光学检测仪器和光学精密机械的研发、技术咨询、技术转让、技术服务、生产、销售与应用的技术企业。,长春长理光学精密机械有限公司,蓝星光域(上海)航天科技有限公司
14,力星激光,未融资,2010-04-06,东莞市,力星激光秉承欧美技术，致力于激光切割、焊接与打标及自动化等激光应用产业领域，是一家集研发、生产与销售于一体的国家高新科技企业，公司主要产品有金属激光切割机、激光打标机、激光焊接机及激光应用自动化线等 8 大产品系列 150多款机型，运用于钣金行业、  3C行业、新能源及航天航空、汽车制造等行业。,东莞市力星激光科技有限公司,蓝星光域(上海)航天科技有限公司
15,铂锐激光,A轮,2020-12-15,济南市,铂锐激光成立于2020年，是一家高端激光产业领域的科技新锐企业。致力于高端激光器与激光应用的自主研发和产业化，秉承“聚焦高端、服务实体、创造价值“的理念，在工业加工、先端科研、环境监测、半导体、雷达遥感等领域为客户提供创新性和竞争力的产品及先进激光技术解决方案，持续为客户创造价值。,山东铂锐激光科技有限公司,蓝星光域(上海)航天科技有限公司
16,格林威治光电,天使轮,2021-10-19,成都市,格林威治光电于2021年成立，是一家超精密光学解决方案提供商，专注于超高精度光学元件加工与智能抛光设备研发。产品均可服务于军用与民用两大领域，为激光系统、空间光学、导航设备、航空航天、精密测量、医疗器械、消费电子等高端应用提供光学元件生产制造解决方案。,四川格林威治光电科技有限公司,蓝星光域(上海)航天科技有限公司
17,飞纳激光,A+轮,2020-12-28,宁波市,飞纳激光创建于 2020年12月，坐落于被誉为商业之都和发展之城的宁波，飞纳激光专注于激光精密微加工，致力于半导体和硬脆材料切割加工全套方案自主研发。依托先进激光器技术、高精度运动控制技术及工艺优势，聚焦半导体、金刚石、航空航天等领域，为超薄、超硬等各类材料提供激光加工解决方案，提供卓越技术服务。,宁波飞纳激光科技有限公司,蓝星光域(上海)航天科技有限公司
18,中科朗星,股权融资,2018-12-28,成都市,中科朗星是一家激光设备供应商，公司主要从事高能激光控制系统及光电测量识别系统的研发、应用和推广，致力于为行业用户提供相关的光电设备及服务。,四川中科朗星光电科技有限公司,蓝星光域(上海)航天科技有限公司
19,华科博创,A轮,2012-01-10,北京市,华科博创是一个面向航空航天和军用领域，提供先进的电子学产品及系统解决方案的技术企业，在光电载荷产品、高可靠加固计算机、仿真测试设备等领域，顺利完成了弹箭星船等多个型号任务的配套工作，取得了客户和合作伙伴的高度认可。,北京华科博创科技有限公司,蓝星光域(上海)航天科技有限公司
20,沪宁亮源,A轮,2019-11-12,杭州市,沪宁亮源成立于 2019 年，是一家生产激光电子器件产品、激光相关配套产品的高新企业。核心围绕激光光源、激光模组与激光传感系统开展业务，提供定制化激光解决方案，并配套相关设备安装维修与进出口业务。,杭州沪宁亮源激光器件有限公司,蓝星光域(上海)航天科技有限公司
1,高通中国,未融资,2001-08-09,北京市,高通中国是一家物联网芯片研发商，主要产品包括骁龙移动平台、2net健康信息平台、AllPlay智能媒体平台、Halo车用无线充电技术、小型基站等。现产品广泛应用于汽车、计算、物联网、健康医疗、数据中心等行业领域。,高通无线通信技术（中国）有限公司,紫光展锐(上海)科技股份有限公司
2,翱捷科技,IPO,2015-04-30,上海市,翱捷科技是一家芯片制造商，产品线覆盖包括2G、3G、4G在内的多制式通讯标准，主要应用于移动智能通讯终端、物联网、导航及其他消费类电子；此外公司还为用户提供相关领域解决方案及其他技术支持。,翱捷科技股份有限公司,紫光展锐(上海)科技股份有限公司
3,超材信息,A+轮,2017-12-28,北京市,超材信息致力于高性能SAW滤波器和双工器等系列射频前端芯片的研发设计、生产制造和销售，产品广泛应用于4G、5G移动终端和物联网模组等领域。,北京超材信息科技有限公司,紫光展锐(上海)科技股份有限公司
4,锐石创芯,C+轮,2017-04-01,重庆市,锐石创芯是一家射频器件供应商，以硅谷射频芯片设计技术为依托，专注于手机射频前端产品的研发及销售，产品包括射频功放芯片、基板以及射频前端测试系统，广泛应用于手机、物联网、车联网等移动终端领域。,锐石创芯（重庆）科技股份有限公司,紫光展锐(上海)科技股份有限公司
5,中兴微电子,股权转让,2003-11-28,深圳市,中兴微电子是一家综合芯片供应商，主要业务聚焦固网、手机、IPTV三大终端，产品有手机modem芯片、多媒体应用处理器、视频图像处理器、PA芯片、承载网MSTP芯片等，产品主要应用于移动终端、多媒体、智能家居及可穿戴产品领域。,深圳市中兴微电子技术有限公司,紫光展锐(上海)科技股份有限公司
6,兆易创新,IPO,2005-04-06,北京市,兆易创新成立于2005年，总部位于北京市，是全球化的Fabless芯片供应商，致力于构建以存储器、微控制器、传感器、模拟产品为核心驱动力的完整生态，为工业、汽车、计算、消费电子、物联网、移动应用以及通信领域的客户提供完善的产品技术和服务。,兆易创新科技集团股份有限公司,紫光展锐(上海)科技股份有限公司
7,联发科软件,未融资,2009-12-07,上海市,联发科技是全球IC设计领导厂商，专注于无线通讯及数位媒体等技术领域。本公司提供的晶片整合系统解决方案，包含无线通讯、高解析度电视、光储存、DVD及蓝光等相关产品，市场上均居领导地位。联发科技成立于1997 年，已在中国台湾证券交易所公开上市，股票代号为2454。总部设于中国台湾，并设有销售或研发团队于中国大陆、新加坡、印度、美国、日本、韩国、丹麦、英国、瑞典及杜拜。,联发科软件（上海）有限公司,紫光展锐(上海)科技股份有限公司
8,希微科技,B轮,2020-06-16,上海市,希微科技成立于2020年，专注于无线通信芯片的研发和创新，经过团队的共同努力，公司首个Wi-Fi 6芯片产品（核心IP均为自主研发）一次流片成功，并已通过WFA认证，各项性能指标也获得了众多Tie 1厂商的认可，该产品可适用于多个应用场景，如手机、平板、TV、OTT、IPC等为代表的消费电子市场以及安防类物联网市场。,希微科技（上海）有限公司,紫光展锐(上海)科技股份有限公司
9,瑞芯微,IPO,2001-11-25,福州市,瑞芯微电子是一家集成电路设计研发商，主要专注于数字影音和影像处理、移动智能终端、移动计算等系统级芯片的研究和开发，公司芯片的应用领域包括平板电脑、TV BOX、游戏盒子、IoT设备、车载智能终端、VR设备、无人机、智能手机、视频监控、运动相机等。,瑞芯微电子股份有限公司,紫光展锐(上海)科技股份有限公司
10,新郦璞科技,A轮,2020-09-18,上海市,新郦璞科技是一家芯片产品供应商，专注于ESC边缘感知与计算芯片产品的设计与创新，具备数字、混合信号、模拟以及射频的完整SoC芯片的设计研发流程和规范，可为物联网边缘端芯片解决方案以及通信网络芯片解决方案。,新郦璞科技（上海）有限公司,紫光展锐(上海)科技股份有限公司
11,东土信息,未融资,2015-01-09,上海市,上海东土信息科技有限公司成立于2015年，是一家专注于卫星导航系统射频芯片、模块、解决方案研发的技术企业，目前已经形成了完整的射频芯片研发平台和应用解决方案研发平台。,上海东土信息科技有限公司,紫光展锐(上海)科技股份有限公司
12,新奇点智能科技,股权融资,2008-03-14,杭州市,新奇点智能科技是一家移动通讯芯片及设备研发商，专业从事移动通讯芯片、移动通讯设备和移动通讯端到端系统的开发。致力于推进“5G+智能驾驶”全栈技术产品的开发和总成，力争在中国率先实现5G车路云协同智能驾驶的商用运营。,新奇点智能科技集团有限公司,紫光展锐(上海)科技股份有限公司
13,紫光国微,定向增发,2001-09-17,唐山市,紫光国芯股份有限公司是一家集成电路芯片设计开发商，主要从事高档元器件和电子芯片的开发、生产和销售。专注于集成电路芯片设计开发领域，坚持稳健经营、持续创新、开放合作，是目前国内前沿的集成电路芯片设计和系统集成解决方案供应商。,紫光国芯微电子股份有限公司,紫光展锐(上海)科技股份有限公司
14,隔空科技,D轮,2017-12-13,宁波市,隔空科技成立于2017年，专注于高性能无线射频技术、微波毫米波技术、雷达传感器技术、 低功耗 MCU 技术及 SoC 技术，定义并研发世界前沿的“Me First芯片产品，提供高性价比的芯片、算法、软件及模组全套解决方案，公司产品线中的5.8GHz、10.525GHz、24GHz、60GHz、77GHz 系列雷达芯片、“BLE+雷达”双模芯片、车载毫米波雷达芯片、专用MCU芯片等产品，被广泛应用于智能物联网(AloT)、智慧照明、智能家电、智能家居、智慧城市管理、汽车ADAS等领域。,宁波隔空智能科技有限公司,紫光展锐(上海)科技股份有限公司
15,瓴盛科技,天使+轮,2018-05-16,成都市,瓴盛科技聚焦消费类手机市场，经营范围主要是与芯片组解决方案有关的设计、包装、测试、客户支持和销售，以及技术开发、技术许可、技术咨询、技术服务和软件开发。主打SoC手机芯片，瞄准中低端芯片，主攻手机细分市场。,瓴盛科技有限公司,紫光展锐(上海)科技股份有限公司
16,尊湃通讯,A轮,2021-03-02,南京市,尊湃通讯是一家高端芯片设计服务商，以高端芯片设计为主，致力于提供家庭及企业高性能、全生态智慧场景芯片组及解决方案。,尊湃通讯科技（南京）有限公司,紫光展锐(上海)科技股份有限公司
17,泰芯半导体,股权转让,2016-11-17,珠海市,珠海泰芯半导体是一家芯片及电能解决方案提供商，主要产品有物联网通讯芯片、高清视频编解码芯片以及电力电子现场可编程芯片等，可应用于交通、能源以及通信等领域，同时还为用户提供电能解决方案。,珠海泰芯半导体有限公司,紫光展锐(上海)科技股份有限公司
18,米乐为微电子,B轮,2012-05-14,南京市,米乐为微电子成立于2012年，是一家微波高频集成电路芯片研发商，专注于集成电路芯片，模块和系统解决方案的设计和开发，以及射频、微波、毫米波前端系统方案，产品有各类放大器、混频器和衰减器等。,南京米乐为微电子科技股份有限公司,紫光展锐(上海)科技股份有限公司
19,摩托罗拉,并购,2010-01-06,天津市,摩托罗拉是一家全球性芯片制造、电子通讯大型企业，业务包括企业移动方案解决、宽带及移动网络事业和移动终端事业。,摩托罗拉移动技术（中国）有限公司,紫光展锐(上海)科技股份有限公司
20,易行电子,A+轮,2018-12-13,苏州市,易行电子于2018年成立，是一家专业的Fabless集成电路设计公司。专注于芯片设计及产业化实现，为客户提供芯片定制设计服务和自研芯片及模组产品，主要用于工业控制、边缘端轻量级AI和显示驱动等三大应用领域。,苏州易行电子科技有限公司,紫光展锐(上海)科技股份有限公司
1,星源材质,IPO,2003-09-17,深圳市,星源材质是一家锂离子电池隔膜研发生产商，同时拥有锂离子电池隔膜干法、湿法制备技术和生产线，产品涵盖锂电池干法、湿法、涂覆隔膜，成为了全球行业产品种类最多、质量最优的锂电池隔膜企业，公司产品主要应用于新能源汽车、消费电子及储能电站等领域，并成功在航天航空领域取得应用，为我国产业安全作出了重要贡献。星源材质是一家锂离子电池隔膜研发生产商，同时拥有锂离子电池隔膜干法、湿法制备技术和生产线，产品涵盖锂电池干法、湿法、涂覆隔膜，成为了全球行业产品种类最多、质量最优的锂电池隔膜企业，公司产品主要应用于新能源汽车、消费电子及储能电站等领域，并成功在航天航空领域取得应用，为我国产业安全作出了重要贡献。,深圳市星源材质科技股份有限公司,上海璞泰来新能源科技集团股份有限公司
2,振华新材,定向增发,2004-04-26,贵阳市,振华新材主要从事锂离子电池正极材料的研发、生产及销售。产品涵盖消费电子产品及电动汽车所用的锂离子电池正极材料领域，包括动力三元、钴酸锂、复合三元、钴镍锰酸锂三元、高锰多晶系列产品。,贵州振华新材料股份有限公司,上海璞泰来新能源科技集团股份有限公司
3,贝特瑞,股权转让,2000-08-07,深圳市,贝特瑞是一家锂离子二次电池用料生产商，主营业务为研发、生产与销售锂离子电池的制造材料，产品包括锂离子电池负极材料、正极材料、天然鳞片石墨等，并为用户提供石墨制品加工服务。,贝特瑞新材料集团股份有限公司,上海璞泰来新能源科技集团股份有限公司
4,尚太科技,IPO,2008-09-27,石家庄市,尚太科技是一家高性能石墨材料研发生产商，专注于新材料的研究开发和生产经营，拥有锂离子电池负极材料高温石墨化生产线与合成金刚石用碳源石墨材料生产线，可为客户提供合成金刚石用碳源石墨粉产品以及锂离子电池负极材料的高温石墨化加工。,石家庄尚太科技股份有限公司,上海璞泰来新能源科技集团股份有限公司
5,天赐材料,定向增发,2000-06-06,广州市,天赐材料成立于2000年6月，主营业务为锂离子电池材料、日化材料及特种化学品两大业务板块。赐材料自成立以来一直持续发展锂离子电池材料、日化材料及特种化学品两大业务板块。天赐材料作为卓越出众品牌的供应商，是具有较大的影响力及行业带头示范作用的卓越出众精细化工企业，电解液龙头企业。,广州天赐高新材料股份有限公司,上海璞泰来新能源科技集团股份有限公司
6,凯金能源,股权融资,2012-03-26,东莞市,凯金能源是一家锂离子电池负极材料供应商，主要产品包括人造石墨、复合石墨、混合石墨、天然石墨，适用于方形、圆柱、软包聚合物等类型锂离子电池。产品可应用于汽车、数码产品、应急电源等领域。,广东凯金新能源科技股份有限公司,上海璞泰来新能源科技集团股份有限公司
7,赢合科技,定向增发,2006-06-26,深圳市,赢合科技是一家锂离子电池生产设备制造商，集锂电池专用生产设备的研发、设计、制造、销售与服务于一体，产品涵盖锂离子电池自动化生产线上的主要设备，包含涂布机、分条机、制片机、卷绕机、模切机、叠片机六大类设备及相应配套的辅助设备，满足不同工艺、不同尺寸锂离子电池的制作需求。产品应用于动力、储能及消费类电池等多个领域。,深圳市赢合科技股份有限公司,上海璞泰来新能源科技集团股份有限公司
8,中伟新材,IPO,2014-09-15,铜仁市,中伟新材聚焦镍、钴、磷、钠、锰、锂等新能源材料及前沿技术，并持续迭代，打造多样化、定制化、快速开发与量产的技术服务能力及产业化应用能力，助推行业技术发展。,中伟新材料股份有限公司,上海璞泰来新能源科技集团股份有限公司
9,中锂新材,并购,2012-01-12,常德市,中锂新材是一家动力电池隔膜产品研发商，集动力电池隔膜产品的设计研发、生产制造与销售为一体，主要产品为锂离子电池湿法隔膜，此外公司还为用户提供动力电池隔膜定制服务等。,中材锂膜（常德）有限公司,上海璞泰来新能源科技集团股份有限公司
10,翔丰华,定向增发,2009-06-12,上海市,翔丰华是一家锂离子电池负极材料制造商，主要产品有天然石墨、人造石墨以及硅碳负极材料等，产品应用于动力（电动交通工具，如新能源汽车、电动自行车等）、3C消费电子、工业储能等领域。,上海市翔丰华科技股份有限公司,上海璞泰来新能源科技集团股份有限公司
11,当升科技,定向增发,1998-06-03,北京市,当升科技是一家锂电正极及电子陶瓷材料研发商，公司的产品主要包括高功率型钴酸锂材料、高容量型钴酸锂材料等锂电正极材料；电子级氧化铋、电子级氧化钴等电子陶瓷材料；以及旋转模切机等产品。,北京当升材料科技股份有限公司,上海璞泰来新能源科技集团股份有限公司
12,杉杉股份,定向增发,1992-12-14,宁波市,杉杉股份成立于1992年，是一家挨锂电池负极材料与偏光片供应商，公司服装业务起家，1999 年转型进入锂电池材料领域，2021 年，公司通过收购LG化学偏光片业务，形成“双主业、双驱动”发展新格局。,宁波杉杉股份有限公司,上海璞泰来新能源科技集团股份有限公司
13,蜂巢能源,B+轮,2018-02-12,常州市,蜂巢能源是一家电动电池研发生产商，专注于锂离子动力电池及其正极材料、储能电池等方面的开发和销售，为用户提供新能源汽车充电桩、电池利用回收等产品解决方案。,蜂巢能源科技股份有限公司,上海璞泰来新能源科技集团股份有限公司
14,五矿新能,IPO,2002-06-18,长沙市,五矿新能是一家锂电池正极材料研发商，旗下产品钴酸锂其颗粒形貌为球状二次粒子，具有结晶度高、振实密度大、流动性强、抗过充过放等特点，利于增大材料充填量，提高电池体积比容量。,五矿新能源材料（湖南）股份有限公司,上海璞泰来新能源科技集团股份有限公司
15,国轩高科,并购,1995-01-23,合肥市,国轩高科成立于1995年，总部位于安徽合肥，是一家新能源电池企业和绿色能源解决方案商。司主营磷酸铁锂材料及电芯、三元材料及电芯、动力电池组、储能电池组及电池管理系统等，产品广泛应用于乘用车、商用车、专用车等新能源汽车领域，并为储能客户提供绿色能源系统解决方案。,国轩高科股份有限公司,上海璞泰来新能源科技集团股份有限公司
16,亿纬锂能,定向增发,2001-12-24,惠州市,亿纬锂能是一家锂电池及电源系统制造商，主要产品有锂-亚硫酰氯电池、锂-二氧化锰电池、高倍率长寿命HP电池、动力储能电池及电动车电源系统等，广泛应用于智能电网、新能源汽车、消费电子等不同领域。,惠州亿纬锂能股份有限公司,上海璞泰来新能源科技集团股份有限公司
17,容百科技,定向增发,2014-09-18,宁波市,容百锂电是一家锂电池正极材料研发商，主要产品为三元复合正极材料镍钴锰酸锂，包括NCM333、NCM523、NCM622以及NCM811等型号，主要应用于电动汽车以及混合动力汽车领域。,宁波容百新能源科技股份有限公司,上海璞泰来新能源科技集团股份有限公司
18,德方纳米,定向增发,2007-01-25,深圳市,德方纳米是一家纳米材料制备技术开发商，集研发、生产和销售纳米材料及其应用产品为一体。主要产品有纳米磷酸铁锂、碳纳米管、碳纳米管导电液，同时具备生产纳米磷酸猛铁锂、多层布袋石墨烯生产能力。,深圳市德方纳米科技股份有限公司,上海璞泰来新能源科技集团股份有限公司
19,厦钨新能,定向增发,2016-12-20,厦门市,厦门厦钨新能源材料有限公司（以下简称“厦钨新能源”）是世界钨行业领军企业——厦门钨业股份有限公司（以下简称“厦门钨业”）的全资子公司。厦门钨业积极发展包括贮氢、锂电正极材料等在内的能源新材料产业。,厦门厦钨新能源材料股份有限公司,上海璞泰来新能源科技集团股份有限公司
20,欣旺达,IPO,1997-12-09,深圳市,欣旺达电子是一家锂离子电池模组制造商，专注于锂离子电池模组的研发、设计、生产及销售，为用户提供新能源领域的锂离子电池模组等产品，同时业务还涵盖锂离子电芯、电源管理系统、精密结构件、智能制造类等多个领域。,欣旺达电子股份有限公司,上海璞泰来新能源科技集团股份有限公司
1,星源材质,IPO,2003-09-17,深圳市,星源材质是一家锂离子电池隔膜研发生产商，同时拥有锂离子电池隔膜干法、湿法制备技术和生产线，产品涵盖锂电池干法、湿法、涂覆隔膜，成为了全球行业产品种类最多、质量最优的锂电池隔膜企业，公司产品主要应用于新能源汽车、消费电子及储能电站等领域，并成功在航天航空领域取得应用，为我国产业安全作出了重要贡献。星源材质是一家锂离子电池隔膜研发生产商，同时拥有锂离子电池隔膜干法、湿法制备技术和生产线，产品涵盖锂电池干法、湿法、涂覆隔膜，成为了全球行业产品种类最多、质量最优的锂电池隔膜企业，公司产品主要应用于新能源汽车、消费电子及储能电站等领域，并成功在航天航空领域取得应用，为我国产业安全作出了重要贡献。,深圳市星源材质科技股份有限公司,达闼机器人股份有限公司
2,振华新材,定向增发,2004-04-26,贵阳市,振华新材主要从事锂离子电池正极材料的研发、生产及销售。产品涵盖消费电子产品及电动汽车所用的锂离子电池正极材料领域，包括动力三元、钴酸锂、复合三元、钴镍锰酸锂三元、高锰多晶系列产品。,贵州振华新材料股份有限公司,达闼机器人股份有限公司
3,贝特瑞,股权转让,2000-08-07,深圳市,贝特瑞是一家锂离子二次电池用料生产商，主营业务为研发、生产与销售锂离子电池的制造材料，产品包括锂离子电池负极材料、正极材料、天然鳞片石墨等，并为用户提供石墨制品加工服务。,贝特瑞新材料集团股份有限公司,达闼机器人股份有限公司
4,尚太科技,IPO,2008-09-27,石家庄市,尚太科技是一家高性能石墨材料研发生产商，专注于新材料的研究开发和生产经营，拥有锂离子电池负极材料高温石墨化生产线与合成金刚石用碳源石墨材料生产线，可为客户提供合成金刚石用碳源石墨粉产品以及锂离子电池负极材料的高温石墨化加工。,石家庄尚太科技股份有限公司,达闼机器人股份有限公司
5,天赐材料,定向增发,2000-06-06,广州市,天赐材料成立于2000年6月，主营业务为锂离子电池材料、日化材料及特种化学品两大业务板块。赐材料自成立以来一直持续发展锂离子电池材料、日化材料及特种化学品两大业务板块。天赐材料作为卓越出众品牌的供应商，是具有较大的影响力及行业带头示范作用的卓越出众精细化工企业，电解液龙头企业。,广州天赐高新材料股份有限公司,达闼机器人股份有限公司
