序号,产品名,当前轮次,成立日期,所属城市,产品介绍,所属企业,tag
8,裕元生物,股权转让,2023-02-20,杭州市,裕元生物是一家专注生物基原料创新制造与商业化交付的合成生物学公司，基于自有的菌株设计与工艺开发平台，实现了绿色生物基分子的产业化生产，应用于日化医美、油田驱油、土壤修复、健康代糖、食品营养品、医药纳米制剂等不同领域。,杭州裕元生物科技有限公司,柯泰亚生物科技(上海)有限公司
9,贻如生物,A轮,2021-12-16,杭州市,贻如科技成立于2021年，以合成生物学为底层技术，创造以生物基皮革为代表的新一代创新生物基材料——通过微生物发酵直接生产生物基树脂原料，经加工后制成皮革成品，实现碳排放降低80%以上、部分产品生产成本甚至低于传统油性PU产品、物理性能（耐磨、透气、柔韧）对标真皮水准，由此让大众消费品所需的高性能材料从石油基走向生物基。,贻如科技（杭州）有限公司,柯泰亚生物科技(上海)有限公司
10,经海纬象,B轮,2020-11-11,上海市,经海纬象成立于2020年11月，总部位于上海市，致力于通过生物技术构建低碳、环保、可持续的绿色产业链，利用前沿的新一代合成生物技术建设超级细胞工厂，进行“合成材料+产业化应用”双矩阵发展，实现“生物质-乳酸-丙交酯-PLA-制品-rPLA回收”的全产业链覆盖，产品应用端已成功研发了以PLA（聚乳酸）为代表的一系列生物基材料，广泛适用于快消日化、食品饮料、农业、零售业、纺织纤维、生物医药、汽车制造等领域。,上海经海纬象生物材料有限公司,柯泰亚生物科技(上海)有限公司
11,正扬生物,天使轮,2021-01-14,南京市,正扬生物致力于用合成生物技术，改变人类生产生活的方式。致力于提供高质量的分子诊断产品，生物医药原料，各类试剂，高附加值的生物制品，以及合成生物学整体解决方案。,南京正扬生物科技有限公司,柯泰亚生物科技(上海)有限公司
12,睿嘉康,B轮,2021-08-02,武汉市,睿嘉康于2021年8月在湖北武汉成立，是一家拥有独立自主知识产权、专注于绿色合成生物制造领域的合成生物学高科技公司，主要针对非粮大宗醇和有机酸等管线的生物燃料与生物材料厌氧发酵生产进行布局，致力成为大宗醇酸非粮合成生物制造引领者。,武汉睿嘉康生物科技有限公司,柯泰亚生物科技(上海)有限公司
13,巨微生物,A+轮,2024-05-16,广州市,巨微生物成立于2024年，主要以生物活性为切入方向，专注于开发符合市场化需求的创新产品，提供功能性创新原料解决方案，应用场景包括美妆日化、功能性食品、医美医药等领域。,广州巨微生物技术有限公司,柯泰亚生物科技(上海)有限公司
14,虹摹生物,A轮,2022-02-21,上海市,虹摹生物是中国本土母乳低聚糖HMO自主研发及产业化的领跑者，也是合成生物学领域的创新者。提供专业的合成生物创新、富有洞察力的产品解决方案。,虹摹生物科技（上海）有限公司,柯泰亚生物科技(上海)有限公司
15,云洛生物,A轮,2020-06-19,上海市,云洛生物以合成生物学为核心，专注于酶的基因挖掘、酶的定向改造、细胞工厂构建、生物发酵和酶催化等绿色高新技术的研发并将其应用于天然香料、高端化妆品原料、医药中间体、生物酶制剂等领域。,上海云洛生物技术有限公司,柯泰亚生物科技(上海)有限公司
16,欣贝莱,A轮,2017-03-31,杭州市,欣贝莱成立于2017年，是一家合成生物学技术服务商，以合成生物学技术和大数据分析技术为基础，通过细胞工厂制造出高纯度、低成本、低污染的高附加值药物和大宗化工原料，在工业、医药原料市场开拓出一条绿色制造研发的产业链，在实现巨大经济价值的同时，也能更好地实现环境友好和保护。,杭州欣贝莱生物科技有限公司,柯泰亚生物科技(上海)有限公司
17,基茵达,股权转让,2021-11-02,北京市,基茵达成立于2021年，是一家以合成生物学技术为核心，从事绿色天然产物和高附加值化学品的研发、生产与销售一体化的创新型生物技术企业。深入挖掘合成生物原料在食品、营养、日化护理、饲料和农化板块等的应用的潜力并提供充分验证。,基茵达生物技术（北京）有限公司,柯泰亚生物科技(上海)有限公司
18,和晨生物,A轮,2022-05-07,合肥市,和晨生物成立于2022年，是一家专注于功能活性原料研发及产业化的合成生物学企业，致力于通过高效微生物细胞工厂的构建与优化，实现功能营养成分、生物活性成分等关键功能活性原料的规模生产与绿色制造。,合肥和晨生物科技有限公司,柯泰亚生物科技(上海)有限公司
19,Antheia,C轮,-,-,Antheia是新一代医药原料生产商，致力于终结药品短缺问题。公司依托先进的生物合成和发酵技术，打造了高效的生物制造平台，能够快速、灵活且按需生产对公共卫生至关重要的关键起始材料 (KSM) 和原料药 (API)。,-,柯泰亚生物科技(上海)有限公司
20,苏州华赛生物,A轮,2014-09-04,苏州市,华赛生物是一家合成生物产品供应商，建立合成生物学和代谢工程平台，产品覆盖于香精香料、保健品和营养品、原料和中间体、饲料添加剂和材料单体，为用户提供胞苷、胞磷胆碱钠、胞嘧啶等产品。,苏州华赛生物工程技术有限公司,柯泰亚生物科技(上海)有限公司
1,生研生物,A轮,2016-06-28,嘉兴市,生研生物成立于2016年，是一家创新型的细胞药物研发和生产商，致力打造国际免疫细胞治疗技术平台，为多发性骨髓瘤、肺癌、胰腺癌等病人提供安全有效、经济的细胞药物;将推进CAR-T免疫细胞药物的临床试验和产业化，探索肿瘤治疗方面的无限可能。,浙江生研生物科技有限公司,星奕昂(上海)生物科技有限公司
2,卡提医学,A+轮,2017-07-05,南京市,卡提医学是一家专注于免疫细胞治疗新技术研发与应用的高科技公司，拥有创新型CAR结构设计、病毒及细胞培养等高壁垒的技术平台。,南京卡提医学科技有限公司,星奕昂(上海)生物科技有限公司
3,原启生物,Pre-IPO,2015-02-04,上海市,原启生物成立于2015年，以开发创新型、有临床价值的细胞药物为长期发展战略，依托自主构建的协同增效创新型产品研发技术平台，聚焦全球肝癌、骨髓瘤、卵巢癌、胃癌、宫颈癌、非小细胞肺癌等未被满足的临床治疗需求，致力于为全球未被满足的临床需求开发效价可及反应持久且具有实际意义的细胞药物。,原启生物科技（上海）有限责任公司,星奕昂(上海)生物科技有限公司
4,源正细胞,未融资,2013-07-11,深圳市,源正细胞是一家细胞治疗技术研发商，主要从事细胞治疗技术研究开发和技术服务，主要开展抗肿瘤、抗病毒、抗衰老等各类免疫细胞治疗技术和以细胞为载体的基因治疗技术的研究推广。,深圳源正细胞医疗技术有限公司,星奕昂(上海)生物科技有限公司
